Task name,Assignee,Created time,Description,Due,Files & media,Group Kegiatan,Kelengkapan,Month,Parent task,Parent-task,Priority,Status,Sub-task,Sub-tasks,Team,Year
Mengikuti zoom PIC SPBE,,"March 4, 2025 9:42 AM","screenshot di bawah ","March 4, 2025",,Mengikuti rapat/sosialisasi/pelatihan,Lengkap,Maret,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
[Zoom-RB] Rapat pilar SDM (bu vivi),,"March 5, 2025 8:02 AM","Kasie IPD BPS Provinsi Kalimantan Timur is inviting you to a scheduled Zoom meeting.

Topic: Rapat pilar SDM
Time: Mar 5, 2025 09:00 Singapore
Join Zoom Meeting
https://us06web.zoom.us/j/6400006401?pwd=vbbrDhb5Fq9jCKJhNG0xZagT5bvFg7.1&omn=85738055896

Meeting ID: 640 000 6401
Passcode: bps6400

","March 5, 2025 9:00 AM (GMT+8)",,Mengelola Zoom,Lengkap,Maret,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
"Input dinas di http://webapss.bps.go.id/rujukan/pembinaan ",,"March 5, 2025 8:06 AM",screenshot di bawah,"March 5, 2025 → March 6, 2025",,Kegiatan Lainnya,Lengkap,Maret,,,Medium,Done,,,Sektoral (https://www.notion.so/Sektoral-16f2318e3b728043936ff61256aeb3c6?pvs=21),2025
Coba scraping indah kayaknya bisa? gatau deh blm coba,,"March 5, 2025 8:07 AM",,"March 5, 2025 → March 7, 2025",,Metadata dan Romantik,Belum ada bukti dukung,Maret,,,Low,Archived,,,Sektoral (https://www.notion.so/Sektoral-16f2318e3b728043936ff61256aeb3c6?pvs=21),2025
Buat SOP sektoral,,"March 5, 2025 8:08 AM",,"March 5, 2025",,Kegiatan Lainnya,Lengkap,Maret,,,High,Done,,,Sektoral (https://www.notion.so/Sektoral-16f2318e3b728043936ff61256aeb3c6?pvs=21),2025
"[Zoom-RB] Pilar pelayanan publik ",,"March 5, 2025 9:47 AM","Kasie IPD BPS Provinsi Kalimantan Timur is inviting you to a scheduled Zoom meeting.

Topic: Rapat pilar SDM
Time: Mar 5, 2025 09:00 Singapore
Join Zoom Meeting
https://us06web.zoom.us/j/6400006401?pwd=vbbrDhb5Fq9jCKJhNG0xZagT5bvFg7.1&omn=85738055896

Meeting ID: 640 000 6401
Passcode: bps6400","March 6, 2025 9:00 AM (GMT+8)",,Mengelola Zoom,Lengkap,Maret,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
[Zoom-Produksi] Pelatihan …,,"March 5, 2025 1:26 PM","──────────Kasie IPD BPS Provinsi Kalimantan Timur is inviting you to a scheduled Zoom meeting.Join Zoom Meetinghttps://us06web.zoom.us/j/6400006401?pwd=vbbrDhb5Fq9jCKJhNG0xZagT5bvFg7.1&omn=82189653126Meeting ID: 640 000 6401Passcode: bps6400

","March 7, 2025",,Mengelola Zoom,Lengkap,Maret,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
[Zoom-produksi] Pelatihan …,,"March 5, 2025 1:29 PM","──────────Kasie IPD BPS Provinsi Kalimantan Timur is inviting you to a scheduled Zoom meeting.Join Zoom Meetinghttps://us06web.zoom.us/j/6400006401?pwd=vbbrDhb5Fq9jCKJhNG0xZagT5bvFg7.1&omn=82189653126

Meeting ID: 640 000 6401
Passcode: bps6400

","March 10, 2025 → March 12, 2025",,Mengelola Zoom,Lengkap,Maret,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
Buat SOP Aplikasi Kantor,,"March 6, 2025 10:15 AM",,"March 6, 2025",,Kegiatan Lainnya,Lengkap,Maret,,,,Done,,,RB dan Inovasi (https://www.notion.so/RB-dan-Inovasi-16f2318e3b72804f80dcdfc48445c75b?pvs=21),2025
[Zoom-distribusi] Pra-Rekonsiliasi Daerah Indeks Kemahalan Konstruksi 2025 (Host Yogi),,"March 6, 2025 10:26 AM","6400_Kaltim is inviting you to a scheduled Zoom meeting.

Topic: Pra-Rekonsiliasi Daerah Indeks Kemahalan Konstruksi 2025
Time: Mar 11, 2025 10:30 Singapore
Join Zoom Meeting
https://us06web.zoom.us/j/6400006402?pwd=bjFkMFVXSDBvNVFKUWQwbkZsSzRiUT09&omn=84744357330

Meeting ID: 640 000 6402
Passcode: bps64

","March 11, 2025",,Mengelola Zoom,Lengkap,Maret,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
[Zoom-distribusi] Pra-Rekonsiliasi Daerah Indeks Kemahalan Konstruksi 2025 (Host Yogi),,"March 6, 2025 10:28 AM","6400_Kaltim is inviting you to a scheduled Zoom meeting.

Topic: Pra-Rekonsiliasi Daerah Indeks Kemahalan Konstruksi 2025
Time: Mar 11, 2025 10:30 Singapore
Join Zoom Meeting
https://us06web.zoom.us/j/6400006402?pwd=bjFkMFVXSDBvNVFKUWQwbkZsSzRiUT09&omn=84744357330

Meeting ID: 640 000 6402
Passcode: bps64

","March 13, 2025",,Mengelola Zoom,Lengkap,Maret,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
[Zoom-RB] Pendampingan pilar penguatan pengawasan (Host mbak ely),,"March 6, 2025 1:45 PM",,"March 7, 2025",,Mengelola Zoom,Lengkap,Maret,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
"Query raw data sakernas ",,"March 6, 2025 2:35 PM","Screenshot dan link metadata database ada di bawah. ","March 6, 2025",,Sakernas,Lengkap,Maret,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
Maintenance SiCaka,,"March 7, 2025 8:17 AM","Perbaikan grafik di dashboard biar semua tim tampil ","March 7, 2025",,Aplikasi Kantor,Lengkap,Maret,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
Membuat spreadsheet monitoring ZI,,"March 7, 2025 9:22 AM","screenshot dan link sheets ada di bawah ","March 7, 2025",,Kegiatan Lainnya,Lengkap,Maret,,,,Done,,,RB dan Inovasi (https://www.notion.so/RB-dan-Inovasi-16f2318e3b72804f80dcdfc48445c75b?pvs=21),2025
Membuat spreadsheet monitoring ZI,,"March 10, 2025 8:37 AM","screenshot dan link sheets ada di bawah ","March 10, 2025 → March 11, 2025",,Kegiatan Lainnya,Lengkap,Maret,,,,Done,,,RB dan Inovasi (https://www.notion.so/RB-dan-Inovasi-16f2318e3b72804f80dcdfc48445c75b?pvs=21),2025
"Mengikuti zoom metadata romantik ",,"March 10, 2025 10:01 AM","screenshot ","March 10, 2025 → March 11, 2025",,Mengikuti rapat/sosialisasi/pelatihan,Lengkap,Maret,,,,Done,,,Sektoral (https://www.notion.so/Sektoral-16f2318e3b728043936ff61256aeb3c6?pvs=21),2025
Mengikuti internalisasi ZI,,"March 12, 2025 1:26 PM",,"March 12, 2025 → March 14, 2025",,Mengikuti rapat/sosialisasi/pelatihan,Lengkap,Maret,,,,Done,,,RB dan Inovasi (https://www.notion.so/RB-dan-Inovasi-16f2318e3b72804f80dcdfc48445c75b?pvs=21),2025
Scraping berita terkait cabai di kaltim,,"March 14, 2025 9:09 AM",,"March 13, 2025 → March 17, 2025",,Kegiatan Lainnya,Lengkap,Maret,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
"Menambahkan monitoring penilaian ZI di LKE ",,"March 14, 2025 9:17 AM",,"March 14, 2025",,Sekretariat RB,Lengkap,Maret,,,High,Done,,,RB dan Inovasi (https://www.notion.so/RB-dan-Inovasi-16f2318e3b72804f80dcdfc48445c75b?pvs=21),2025
"Analisis harga cabai ",,"March 14, 2025 9:18 AM","repositori terkait: 

- skripsi rizki https://git.stis.ac.id/ks/skripsi2019/analisis-sentimen-bps.git
- skripsi aul https://git.stis.ac.id/ks/skripsi2019/social-sensing-sp2020.git
- full source code skripsi aul https://github.com/amaghfira/SKRIPSI_all-source-code.git
- github https://github.com/amaghfira/project_cabai.git","March 18, 2025 → March 21, 2025",,Kegiatan Lainnya,Lengkap,Maret,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
[Zoom-Umum] Verifikasi pertanggungjawaban perjalanan dinas selama tahun 2024 (host mbak fafa),,"March 24, 2025 8:31 AM","Kasie IPD BPS Provinsi Kalimantan Timur is inviting you to a scheduled Zoom meeting.

Topic: [Zoom-Umum] Verifikasi pertanggungjawaban perjalanan dinas selama tahun 2024 (host mbak fafa)
Time: Mar 25, 2025 10:00 Singapore
Join Zoom Meeting
https://us06web.zoom.us/j/6400006401?pwd=vbbrDhb5Fq9jCKJhNG0xZagT5bvFg7.1&omn=82279864650

Meeting ID: 640 000 6401
Passcode: bps6400

","March 25, 2025",,Mengelola Zoom,Lengkap,Maret,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
Revalidasi susenas,,"March 24, 2025 8:39 AM",,"March 18, 2025 → March 21, 2025",,Susenas,Lengkap,Maret,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
Revalidasi susenas,,"March 24, 2025 8:40 AM",,"March 24, 2025 → March 28, 2025",,Susenas,Lengkap,Maret,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
"Rapat ZI dan membuat landing page evaluasi penilaian ZI ",,"March 24, 2025 12:29 PM",,"March 24, 2025",,"Aplikasi Kantor, Mengikuti rapat/sosialisasi/pelatihan",Lengkap,Maret,,,,Done,,,RB dan Inovasi (https://www.notion.so/RB-dan-Inovasi-16f2318e3b72804f80dcdfc48445c75b?pvs=21),2025
[Zoom-RB] Hasil Penilaian ZI Kabkota (oleh TPP),,"April 14, 2025 8:31 AM",,"April 14, 2025",,Mengelola Zoom,Lengkap,April,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
[Zoom-descan] Pelatihan Pembina Desa Cantik Kabupaten/Kota Tahun 2025,,"April 14, 2025 2:45 PM","640 000 6401
password: bps6400","April 15, 2025 → April 17, 2025",,Mengelola Zoom,Lengkap,April,,,,Done,,,,2025
[Zoom-diseminasi] Coaching Clinic PEKPP 2025,,"April 14, 2025 2:47 PM","6400_Kaltim is inviting you to a scheduled Zoom meeting.

Topic: Coaching Clinic PEKPP 2025
Time: Apr 16, 2025 09:00 Singapore
Join Zoom Meeting
https://us06web.zoom.us/j/6400006402?pwd=bjFkMFVXSDBvNVFKUWQwbkZsSzRiUT09&omn=86576940944

Meeting ID: 640 000 6402
Passcode: bps64

","April 21, 2025 → April 22, 2025",,Mengelola Zoom,Lengkap,April,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
Maintenance Sicaka,,"April 14, 2025 2:51 PM","* kenapa itu masih 2023? 
* dashboard bar chart produksi udh ad isian tp kok 0? ","April 14, 2025 → April 17, 2025",,Aplikasi Kantor,Lengkap,April,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
"Buat surat balasan narsum ",,"April 14, 2025 2:52 PM",,"April 14, 2025",,Kegiatan Lainnya,Lengkap,April,,,,Done,,,Sektoral (https://www.notion.so/Sektoral-16f2318e3b728043936ff61256aeb3c6?pvs=21),2025
Mengikuti Coaching EPSS,,"April 16, 2025 10:22 AM",,"April 16, 2025",,EPSS,Lengkap,April,,,,Done,,,Sektoral (https://www.notion.so/Sektoral-16f2318e3b728043936ff61256aeb3c6?pvs=21),2025
Membuat kelas LMS untuk pelatihan PEKPPP Kabupaten/kota,,"April 17, 2025 2:10 PM",Bukti dukung tersedia,"April 16, 2025 → April 17, 2025",,Aplikasi Kantor,Lengkap,April,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
Melakukan maintenance sicaka,,"April 22, 2025 9:48 AM","SOLVED! ","April 21, 2025 → April 25, 2025",,Aplikasi Kantor,Lengkap,April,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
"[Zoom-Bu Yus] Perkuliahan Sosial Demografi ITK ",,"April 23, 2025 10:36 AM","Kasie IPD BPS Provinsi Kalimantan Timur is inviting you to a scheduled Zoom meeting.

Topic: Perkuliahan Sosial Demografi ITK Bu Yusniar
Time: Apr 25, 2025 15:45 Singapore
Join Zoom Meeting
https://us06web.zoom.us/j/6400006401?pwd=vbbrDhb5Fq9jCKJhNG0xZagT5bvFg7.1&omn=83727768331

Meeting ID: 640 000 6401
Passcode: bps6400

","April 25, 2025",,Mengelola Zoom,Lengkap,April,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
Edit google sites penilaian ZI Kabupaten/Kota,,"April 25, 2025 11:09 AM","screenshot di bawah ","April 24, 2025 → April 25, 2025",,Kegiatan Lainnya,Lengkap,April,,,,Done,,,RB dan Inovasi (https://www.notion.so/RB-dan-Inovasi-16f2318e3b72804f80dcdfc48445c75b?pvs=21),2025
Scraping dan analisis berita terkait mudik,,"April 30, 2025 2:09 PM","Bukti dukung di bawah. ","April 28, 2025 → May 1, 2025",,Scraping,Lengkap,April,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
Scraping dan analisis berita terkait mudik,,"April 30, 2025 2:24 PM",,"April 22, 2025 → April 25, 2025",,Scraping,Lengkap,April,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
"Mengikuti zoom ISO ",,"April 30, 2025 2:24 PM",,"April 29, 2025",,Kegiatan Lainnya,Lengkap,April,,,,Done,,,ISO PEKPPPP (https://www.notion.so/ISO-PEKPPPP-1842318e3b728029ba5fcb1d2ad6c26d?pvs=21),2025
[Zoom-Produksi],,"April 30, 2025 2:27 PM",Bukti dukung tersedia,"April 30, 2025",,,Lengkap,April,,,,Done,,,,2025
Maintenance Sicaka,,"April 30, 2025 2:28 PM","* membuat diagram ERD 
* membuat flowchart sicaka ","April 18, 2025",,Aplikasi Kantor,Lengkap,April,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
"[Zoom-ITK] ",,"May 2, 2025 8:49 AM","Kasie IPD BPS Provinsi Kalimantan Timur is inviting you to a scheduled Zoom meeting.

Topic: Kasie IPD BPS Provinsi Kalimantan Timur's Zoom Meeting
Time: May 2, 2025 15:30 Singapore
Join Zoom Meeting
https://us06web.zoom.us/j/87221823254?pwd=52Sqq2lwgUxiauVGlf5eBRX3esy78a.1

Meeting ID: 872 2182 3254
Passcode: bps6400

---

One tap mobile
+13863475053,,87221823254#,,,,*9269326# US
+15074734847,,87221823254#,,,,*9269326# US

---

Dial by your location
• +1 386 347 5053 US
• +1 507 473 4847 US
• +1 564 217 2000 US
• +1 646 558 8656 US (New York)
• +1 646 931 3860 US
• +1 669 444 9171 US
• +1 689 278 1000 US
• +1 719 359 4580 US
• +1 720 707 2699 US (Denver)
• +1 253 205 0468 US
• +1 253 215 8782 US (Tacoma)
• +1 301 715 8592 US (Washington DC)
• +1 305 224 1968 US
• +1 309 205 3325 US
• +1 312 626 6799 US (Chicago)
• +1 346 248 7799 US (Houston)
• +1 360 209 5623 US

Meeting ID: 872 2182 3254
Passcode: 9269326

Find your local number: https://us06web.zoom.us/u/kddx2t7fLW","May 2, 2025",,Mengelola Zoom,Lengkap,Mei,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
"[Zoom-Neraca] Rekon PDRB ",,"May 2, 2025 2:23 PM",Kasieipd6400,"May 6, 2025 → May 9, 2025",,Mengelola Zoom,Lengkap,Mei,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
"Rapat RB SBO ",,"May 7, 2025 2:10 PM",,"May 7, 2025",,Kegiatan Lainnya,Lengkap,Mei,,,,Done,,,RB dan Inovasi (https://www.notion.so/RB-dan-Inovasi-16f2318e3b72804f80dcdfc48445c75b?pvs=21),2025
Maintenance descan,,"May 8, 2025 9:55 AM",bukti dukung tersedia,"May 8, 2025 → May 9, 2025",,Aplikasi Kantor,Lengkap,Mei,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
Membuat kuesioner SBO ke word,,"May 8, 2025 9:56 AM",bukti dukung tersedia,"May 8, 2025 → May 9, 2025",,Kegiatan Lainnya,Lengkap,Mei,,,,Done,,,RB dan Inovasi (https://www.notion.so/RB-dan-Inovasi-16f2318e3b72804f80dcdfc48445c75b?pvs=21),2025
"Membuat monitoring bestari ",,"May 8, 2025 9:56 AM",bukti dukung tersedia,"May 8, 2025",,Bestari,Lengkap,Mei,,,,Done,,,RB dan Inovasi (https://www.notion.so/RB-dan-Inovasi-16f2318e3b72804f80dcdfc48445c75b?pvs=21),2025
[Zoom-RB] Undangan Pembinaan Pembangunan Zona Integritas  Pilar Penataan Tata Laksana Tahun 2025,,"May 9, 2025 9:30 AM",akun bps6400,"May 14, 2025",,Mengelola Zoom,Lengkap,Mei,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
"[Zoom-Neraca] Rekon PDRB ",,"May 9, 2025 9:32 AM",Kasieipd6400,"May 14, 2025 → May 16, 2025",,Mengelola Zoom,Lengkap,Mei,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
"[Zoom-Neraca] Rekon PDRB ",,"May 9, 2025 9:33 AM",Kasieipd6400,"May 19, 2025 → May 23, 2025",,Mengelola Zoom,Lengkap,Mei,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
"[Zoom-Neraca] Rekon PDRB ",,"May 9, 2025 9:33 AM",Kasieipd6400,"May 26, 2025",,Mengelola Zoom,Lengkap,Mei,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
Membuat kuesioner SBO semester 1 2025,,"May 14, 2025 8:43 AM","bukti dukung tersedia. ","May 14, 2025 → May 15, 2025",,Kegiatan Lainnya,Lengkap,Mei,,,,Done,,,RB dan Inovasi (https://www.notion.so/RB-dan-Inovasi-16f2318e3b72804f80dcdfc48445c75b?pvs=21),2025
"Memperbaiki database descan ",,"May 14, 2025 8:44 AM",,"May 14, 2025 → May 16, 2025",,Aplikasi Kantor,Lengkap,Mei,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
Memperbaiki peta yg di descan,,"May 14, 2025 8:57 AM",,"May 19, 2025 → May 21, 2025",,Aplikasi Kantor,Lengkap,Mei,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
Monitoring tulisan masuk bestari dan edit user,,"May 14, 2025 10:32 AM",Bukti dukung tersedia,"May 14, 2025",,Bestari,Lengkap,Mei,,,,Done,,,RB dan Inovasi (https://www.notion.so/RB-dan-Inovasi-16f2318e3b72804f80dcdfc48445c75b?pvs=21),2025
Rapat sektoral,,"May 15, 2025 8:06 AM",Bukti dukung tersedia,"May 15, 2025",,Metadata dan Romantik,Lengkap,Mei,,,,Done,,,Sektoral (https://www.notion.so/Sektoral-16f2318e3b728043936ff61256aeb3c6?pvs=21),2025
"[Zoom RB] Rapat Pilat Tata Laksana ",,"May 15, 2025 10:19 AM","6400_Kaltim is inviting you to a scheduled Zoom meeting.

Topic: Rapat Pilar Tata Laksana
Time: May 16, 2025 14:00 Singapore
Join Zoom Meeting
https://us06web.zoom.us/j/6400006402?pwd=bjFkMFVXSDBvNVFKUWQwbkZsSzRiUT09&omn=86458001362

Meeting ID: 640 000 6402
Passcode: bps64

","May 16, 2025",,Mengelola Zoom,Lengkap,Mei,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
Input kegiatan di web sektoral,,"May 15, 2025 3:22 PM",bukti dukung tersedia,"May 16, 2025",,Kegiatan Lainnya,Lengkap,Mei,,,,Done,,,Sektoral (https://www.notion.so/Sektoral-16f2318e3b728043936ff61256aeb3c6?pvs=21),2025
Zoom briefing manajer kelas dan LP Pleatihan Inda Lapangan Wilkerstat SE2026,,"May 16, 2025 2:20 PM",,"May 16, 2025",,Mengikuti rapat/sosialisasi/pelatihan,Lengkap,Mei,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
"[Zoom-IPDS] Pembukaan pelatihan wilkerstat lapangan ",,"May 19, 2025 8:08 AM","6400_Kaltim is inviting you to a scheduled Zoom meeting.

Topic: Pelatihan Inda Lapangan Wilkerstat Kaltim-Kaltara 2025
Time: May 22, 2025 08:30 Singapore
Join Zoom Meeting
https://us06web.zoom.us/j/6400006402?pwd=WLJXIwP77vuImJC8a4YKuNqXhsuVbZ.1&omn=82872173040

Meeting ID: 640 000 6402
Passcode: wilkerstat

","May 22, 2025",,Mengelola Zoom,Lengkap,Mei,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
"[Zoom-IPDS] Pelatihan wilkerstat lapangan ",,"May 19, 2025 8:10 AM","6400_Kaltim is inviting you to a scheduled Zoom meeting.

Topic: Pelatihan Inda Lapangan Wilkerstat Kaltim-Kaltara 2025
Time: May 22, 2025 08:30 Singapore
Join Zoom Meeting
https://us06web.zoom.us/j/6400006402?pwd=WLJXIwP77vuImJC8a4YKuNqXhsuVbZ.1&omn=82872173040

Meeting ID: 640 000 6402
Passcode: wilkerstat

","May 26, 2025 → May 28, 2025",,Mengelola Zoom,Lengkap,Mei,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
Input RK di web sektoral,,"May 19, 2025 8:15 AM",Bukti dukung tersedia,"May 19, 2025 → May 21, 2025",,Kegiatan Lainnya,Lengkap,Mei,,,,Done,,,Sektoral (https://www.notion.so/Sektoral-16f2318e3b728043936ff61256aeb3c6?pvs=21),2025
Buat monitoring rekrutmen tambahan mitra wilkerstat 2025,,"May 19, 2025 10:18 AM","bisa dibuka di : https://docs.google.com/spreadsheets/d/10CRFAkAYWvMrpFgu_m2HNRa4rN5kzHCePsSVoKhe4Gk/edit?usp=sharing ","May 19, 2025",,Manajemen Mitra,Lengkap,Mei,,,High,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
Rapat aplikasi big datanya pak ysuuf,,"May 19, 2025 10:20 AM",,"May 19, 2025",,Aplikasi Kantor,Lengkap,Mei,,,,Done,,,RB dan Inovasi (https://www.notion.so/RB-dan-Inovasi-16f2318e3b72804f80dcdfc48445c75b?pvs=21),2025
"Kasih role user reviewer di bestari yg belum dijadiin reviewer ",,"May 19, 2025 10:27 AM",Bukti dukung tersedia,"May 19, 2025 → May 20, 2025",,Bestari,Lengkap,Mei,,,Medium,Done,,,RB dan Inovasi (https://www.notion.so/RB-dan-Inovasi-16f2318e3b72804f80dcdfc48445c75b?pvs=21),2025
Ngecek romantik,,"May 19, 2025 10:31 AM",Bukti dukung tersedia,"May 19, 2025 → May 22, 2025",,Metadata dan Romantik,Lengkap,Mei,,,,Done,,,Sektoral (https://www.notion.so/Sektoral-16f2318e3b728043936ff61256aeb3c6?pvs=21),2025
[Zoom-IPDS] Rapat pembahasan tindak lanjut GASING pak yusuf ke kabkot,,"May 20, 2025 10:25 AM","6400_Kaltim is inviting you to a scheduled Zoom meeting.

Topic: Pelatihan Inda Lapangan Wilkerstat Kaltim-Kaltara 2025
Time: May 22, 2025 08:30 Singapore
Join Zoom Meeting
https://us06web.zoom.us/j/6400006402?pwd=WLJXIwP77vuImJC8a4YKuNqXhsuVbZ.1&omn=82872173040

Meeting ID: 640 000 6402
Passcode: wilkerstat

","May 21, 2025",,Mengelola Zoom,Lengkap,Mei,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
Pra forum satu data,,"May 21, 2025 8:22 AM","Bukti dukung tersedia. ","May 20, 2025 → May 21, 2025",,Metadata dan Romantik,Lengkap,Mei,,,,Done,,,Sektoral (https://www.notion.so/Sektoral-16f2318e3b728043936ff61256aeb3c6?pvs=21),2025
Rapat tindak lanjut GASING,,"May 21, 2025 8:24 AM",https://linktr.ee/GasingData64,"May 21, 2025",,SE2026,Lengkap,Mei,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
Revisi form SBO Kaltim,,"May 22, 2025 8:56 AM",Bukti dukung tersedia,"May 22, 2025 → May 23, 2025",,Kegiatan Lainnya,Lengkap,Mei,,,,Done,,,RB dan Inovasi (https://www.notion.so/RB-dan-Inovasi-16f2318e3b72804f80dcdfc48445c75b?pvs=21),2025
[Zoom-alinea] Coach Me Program,,"May 22, 2025 9:38 AM","6400_Kaltim is inviting you to a scheduled Zoom meeting.

Topic: Rapat Desa Cantik
Time: May 22, 2025 14:00 Singapore
Join Zoom Meeting
https://us06web.zoom.us/j/6400006402?pwd=62bI4Lf99FhfIF7aqdgv1UcQlzXZBn.1&omn=84015134854

Meeting ID: 640 000 6402
Passcode: bps64

Host: ivander","May 23, 2025",,Mengelola Zoom,Lengkap,Mei,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
[Zoom-Sosial] Rapat desa cantik,,"May 22, 2025 9:38 AM","6400_Kaltim is inviting you to a scheduled Zoom meeting.

Topic: Rapat Desa Cantik
Time: May 22, 2025 14:00 Singapore
Join Zoom Meeting
https://us06web.zoom.us/j/6400006402?pwd=62bI4Lf99FhfIF7aqdgv1UcQlzXZBn.1&omn=84015134854

Meeting ID: 640 000 6402
Passcode: bps64","May 22, 2025",,Mengelola Zoom,Lengkap,Mei,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
Rapat ISO,,"May 23, 2025 9:06 AM",Lengkap,"May 22, 2025",,Kegiatan Lainnya,Lengkap,Mei,,,,Done,,,ISO PEKPPPP (https://www.notion.so/ISO-PEKPPPP-1842318e3b728029ba5fcb1d2ad6c26d?pvs=21),2025
Rapat sektoral,,"May 23, 2025 9:12 AM",Lengkap,"May 22, 2025",,Metadata dan Romantik,Lengkap,Mei,,,,Done,,,Sektoral (https://www.notion.so/Sektoral-16f2318e3b728043936ff61256aeb3c6?pvs=21),2025
